"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"Credit analysts","13-2041","Line item",73.8,79.9,6.2,8.4,NA,6.8,"71290","Bachelor's degree","None","13","2","041"
"Financial analysts","13-2051","Line item",296.1,328.2,32.2,10.9,2.1,29,"84300","Bachelor's degree","None","13","2","051"
"Personal financial advisors","13-2052","Line item",271.9,312.3,40.4,14.9,24.3,25.5,"90640","Bachelor's degree","None","13","2","052"
"Insurance underwriters","13-2053","Line item",104.1,98.6,-5.4,-5.2,NA,7.5,"69760","Bachelor's degree","None","13","2","053"
"Financial examiners","13-2061","Line item",52.5,57.6,5.1,9.8,0.9,4.6,"81690","Bachelor's degree","None","13","2","061"
"Credit counselors","13-2071","Line item",38.3,43.6,5.3,13.8,2.1,3.8,"44710","Bachelor's degree","None","13","2","071"
"Loan officers","13-2072","Line item",318.6,354.9,36.3,11.4,2.6,30.4,"64660","Bachelor's degree","None","13","2","072"
"Tax examiners and collectors, and revenue agents","13-2081","Line item",62.1,61.7,-0.4,-0.6,NA,4.2,"53130","Bachelor's degree","None","13","2","081"
"Tax preparers","13-2082","Line item",95.9,106.2,10.3,10.8,23.6,11.5,"38730","High school diploma or equivalent","None","13","2","082"
"Financial specialists, all other","13-2099","Line item",135.9,149,13.1,9.6,5,13.1,"69520","Bachelor's degree","None","13","2","099"
"Computer and mathematical occupations","15-0000","Summary",4419,5026.5,607.5,13.7,2.6,366.8,"84560","—","—","15","0","000"
"Computer occupations","15-1100","Summary",4238.4,4795.5,557.1,13.1,2.7,349,"84580","—","—","15","1","100"
"Computer and information research scientists","15-1111","Line item",27.9,33.2,5.4,19.2,NA,2.5,"114520","Master's degree","None","15","1","111"
"Computer systems analysts","15-1121","Line item",600.5,654.9,54.4,9.1,2.2,44.9,"88270","Bachelor's degree","None","15","1","121"
"Information security analysts","15-1122","Line item",100,128.5,28.5,28.5,0.4,10.4,"95510","Bachelor's degree","Less than 5 years","15","1","122"
"Computer programmers","15-1131","Line item",294.9,273.6,-21.3,-7.2,5.4,15.5,"82240","Bachelor's degree","None","15","1","131"
"Software developers, applications","15-1132","Line item",831.3,1086.6,255.4,30.7,2.1,85.7,"101790","Bachelor's degree","None","15","1","132"
"Software developers, systems software","15-1133","Line item",425,472.1,47.1,11.1,2.2,32.9,"107600","Bachelor's degree","None","15","1","133"
"Web developers","15-1134","Line item",162.9,187.2,24.4,15,16.2,14.6,"67990","Associate's degree","None","15","1","134"
"Database administrators","15-1141","Line item",119.5,133.2,13.7,11.5,0.1,9.3,"87020","Bachelor's degree","None","15","1","141"
"Network and computer systems administrators","15-1142","Line item",391.3,415.3,24,6.1,0.2,27,"81100","Bachelor's degree","None","15","1","142"
"Computer network architects","15-1143","Line item",162.7,173.2,10.5,6.5,0.9,11.7,"104650","Bachelor's degree","5 years or more","15","1","143"
"Computer user support specialists","15-1151","Line item",636.6,708.7,72.1,11.3,1.9,55.5,"50210","Some college, no degree","None","15","1","151"
"Computer network support specialists","15-1152","Line item",198.8,215.2,16.4,8.3,2,16.5,"62340","Associate's degree","None","15","1","152"
"Computer occupations, all other","15-1199","Line item",287.2,313.8,26.6,9.3,4.6,22.4,"88510","Bachelor's degree","None","15","1","199"
"Mathematical science occupations","15-2000","Summary",180.7,231,50.4,27.9,0.8,17.8,"84060","—","—","15","2","000"
"Actuaries","15-2011","Line item",23.6,28.9,5.3,22.5,1.4,2.1,"101560","Bachelor's degree","None","15","2","011"
"Mathematicians","15-2021","Line item",3.1,4,0.9,29.7,1.8,0.3,"103010","Master's degree","None","15","2","021"
"Operations research analysts","15-2031","Line item",114,145.3,31.3,27.4,NA,10.7,"81390","Bachelor's degree","None","15","2","031"
"Statisticians","15-2041","Line item",37.2,49.8,12.6,33.8,2.6,4.4,"84060","Master's degree","None","15","2","041"
"Mathematical technicians","15-2091","Line item",0.6,0.6,0,7.8,NA,0,"—","Bachelor's degree","None","15","2","091"
"Mathematical science occupations, all other","15-2099","Line item",2.2,2.4,0.2,11,NA,0.2,"—","Bachelor's degree","None","15","2","099"
"Architecture and engineering occupations","17-0000","Summary",2601,2795.4,194.3,7.5,2.7,210.1,"79180","—","—","17","0","000"
"Architects, surveyors, and cartographers","17-1000","Summary",210.9,225.3,14.5,6.9,15.3,16.7,"72020","—","—","17","1","000"
"Architects, except landscape and naval","17-1011","Line item",128.8,134.2,5.5,4.2,20.2,9.7,"78470","Bachelor's degree","None","17","1","011"
"Landscape architects","17-1012","Line item",24.7,26.3,1.6,6.4,19.6,1.9,"65760","Bachelor's degree","None","17","1","012"
"Cartographers and photogrammetrists","17-1021","Line item",12.6,15,2.4,19.4,1.5,1.2,"63990","Bachelor's degree","None","17","1","021"
"Surveyors","17-1022","Line item",44.8,49.8,5,11.2,2.4,3.8,"61140","Bachelor's degree","None","17","1","022"
"Engineers","17-2000","Summary",1681,1820.3,139.3,8.3,1.5,126.6,"92220","—","—","17","2","000"
"Aerospace engineers","17-2011","Line item",69.6,73.8,4.2,6.1,NA,4.6,"113030","Bachelor's degree","None","17","2","011"
"Agricultural engineers","17-2021","Line item",2.7,2.9,0.2,8.2,2.8,0.2,"74780","Bachelor's degree","None","17","2","021"
"Biomedical engineers","17-2031","Line item",21.3,22.8,1.5,7.2,NA,1.6,"88040","Bachelor's degree","None","17","2","031"
"Chemical engineers","17-2041","Line item",32.7,35.1,2.5,7.5,1.3,2.4,"102160","Bachelor's degree","None","17","2","041"
"Civil engineers","17-2051","Line item",303.5,335.7,32.2,10.6,3.4,25.9,"84770","Bachelor's degree","None","17","2","051"
"Computer hardware engineers","17-2061","Line item",73.6,77.6,4,5.5,NA,5.1,"115120","Bachelor's degree","None","17","2","061"
"Electrical engineers","17-2071","Line item",188.3,204.5,16.2,8.6,1.3,13.9,"95060","Bachelor's degree","None","17","2","071"
"Electronics engineers, except computer","17-2072","Line item",136.3,141.3,5.1,3.7,1.1,9.2,"102180","Bachelor's degree","None","17","2","072"
"Environmental engineers","17-2081","Line item",53.8,58.3,4.5,8.3,0.4,4,"86800","Bachelor's degree","None","17","2","081"
"Health and safety engineers, except mining safety engineers and inspectors","17-2111","Line item",25.9,28.1,2.2,8.6,0.4,1.9,"88510","Bachelor's degree","None","17","2","111"
"Industrial engineers","17-2112","Line item",257.9,283,25.1,9.7,0.5,19.7,"85880","Bachelor's degree","None","17","2","112"
"Marine engineers and naval architects","17-2121","Line item",8.2,9.2,1,11.5,NA,0.6,"90970","Bachelor's degree","None","17","2","121"
"Materials engineers","17-2131","Line item",27,27.5,0.4,1.6,NA,1.9,"94610","Bachelor's degree","None","17","2","131"
"Mechanical engineers","17-2141","Line item",288.8,314.1,25.3,8.8,0.5,21.2,"85880","Bachelor's degree","None","17","2","141"
"Mining and geological engineers, including mining safety engineers","17-2151","Line item",7.3,7.9,0.6,8.2,5.8,0.6,"94240","Bachelor's degree","None","17","2","151"
"Nuclear engineers","17-2161","Line item",17.7,18.4,0.7,3.8,NA,1.4,"105810","Bachelor's degree","None","17","2","161"
"Petroleum engineers","17-2171","Line item",33.7,38.8,5.1,15.2,3.6,2.8,"132280","Bachelor's degree","None","17","2","171"
"Engineers, all other","17-2199","Line item",132.5,141,8.5,6.4,4.3,9.5,"97250","Bachelor's degree","None","17","2","199"
"Drafters, engineering technicians, and mapping technicians","17-3000","Summary",709.2,749.7,40.5,5.7,1.7,66.8,"55810","—","—","17","3","000"
"Architectural and civil drafters","17-3011","Line item",99.6,107.7,8.1,8.1,1.7,9.5,"52870","Associate's degree","None","17","3","011"
"Electrical and electronics drafters","17-3012","Line item",27.4,29.3,1.9,6.8,1.7,2.6,"59690","Associate's degree","None","17","3","012"
"Mechanical drafters","17-3013","Line item",64.8,68.2,3.4,5.2,1.8,5.9,"55130","Associate's degree","None","17","3","013"
"Drafters, all other","17-3019","Line item",15.9,17.2,1.3,8,1.7,1.5,"50290","Associate's degree","None","17","3","019"
"Aerospace engineering and operations technicians","17-3021","Line item",12.1,12.9,0.8,6.6,0.8,1.1,"67240","Associate's degree","None","17","3","021"
"Civil engineering technicians","17-3022","Line item",74.5,81.1,6.6,8.8,0.4,7.2,"51620","Associate's degree","None","17","3","022"
"Electrical and electronics engineering technicians","17-3023","Line item",137,139.8,2.7,2,0.7,12,"63660","Associate's degree","None","17","3","023"
"Electro-mechanical technicians","17-3024","Line item",13.8,14.3,0.5,3.5,0.8,1.2,"56740","Associate's degree","None","17","3","024"
"Environmental engineering technicians","17-3025","Line item",17,19.1,2.2,12.9,0.7,1.7,"50230","Associate's degree","None","17","3","025"
"Industrial engineering technicians","17-3026","Line item",63.9,64.3,0.4,0.6,0.8,5.5,"54280","Associate's degree","None","17","3","026"
"Mechanical engineering technicians","17-3027","Line item",46.1,48.4,2.3,5,0.8,4.2,"55360","Associate's degree","None","17","3","027"
"Engineering technicians, except drafters, all other","17-3029","Line item",76.8,80.8,4,5.2,0.6,7.1,"62230","Associate's degree","None","17","3","029"
"Surveying and mapping technicians","17-3031","Line item",60.2,66.6,6.4,10.6,9.1,7.2,"43340","High school diploma or equivalent","None","17","3","031"
"Life, physical, and social science occupations","19-0000","Summary",1299.5,1424.3,124.8,9.6,4.9,132.8,"64510","—","—","19","0","000"
"Life scientists","19-1000","Summary",325.4,358,32.6,10,2.6,32.4,"73700","—","—","19","1","000"
"Animal scientists","19-1011","Line item",6.1,6.4,0.4,5.9,3.2,0.7,"60760","Bachelor's degree","None","19","1","011"
"Food scientists and technologists","19-1012","Line item",17,18,1,5.7,9.6,1.8,"63660","Bachelor's degree","None","19","1","012"
"Soil and plant scientists","19-1013","Line item",19.9,21.7,1.8,8.8,5.8,2.2,"62430","Bachelor's degree","None","19","1","013"
"Biochemists and biophysicists","19-1021","Line item",31.5,35.1,3.6,11.5,3.1,3.2,"91190","Doctoral or professional degree","None","19","1","021"
"Microbiologists","19-1022","Line item",23.2,25.1,1.9,8.2,2.5,2.2,"69960","Bachelor's degree","None","19","1","022"
"Zoologists and wildlife biologists","19-1023","Line item",19.4,20.9,1.5,7.6,0.9,1.9,"62290","Bachelor's degree","None","19","1","023"
"Biological scientists, all other","19-1029","Line item",38.7,41.8,3.1,8,1.3,3.7,"76690","Bachelor's degree","None","19","1","029"
"Conservation scientists","19-1031","Line item",22.3,23.7,1.4,6.3,1.9,2,"61480","Bachelor's degree","None","19","1","031"
"Foresters","19-1032","Line item",12.3,12.9,0.6,5,2.2,1.1,"60120","Bachelor's degree","None","19","1","032"
"Epidemiologists","19-1041","Line item",6.1,6.6,0.5,8.8,1,0.6,"69660","Master's degree","None","19","1","041"
"Medical scientists, except epidemiologists","19-1042","Line item",120,136.1,16.1,13.4,2.1,12.1,"82090","Doctoral or professional degree","None","19","1","042"
"Life scientists, all other","19-1099","Line item",8.9,9.7,0.8,9.2,1.5,0.8,"74540","Bachelor's degree","None","19","1","099"
"Physical scientists","19-2000","Summary",278.2,305.3,27.1,9.7,1.7,28,"78790","—","—","19","2","000"
"Astronomers","19-2011","Line item",2,2.2,0.2,10,NA,0.2,"100590","Doctoral or professional degree","None","19","2","011"
"Physicists","19-2012","Line item",17.9,20.5,2.6,14.5,NA,1.7,"118830","Doctoral or professional degree","None","19","2","012"
"Atmospheric and space scientists","19-2021","Line item",10.4,11.7,1.3,12,NA,0.9,"92070","Bachelor's degree","None","19","2","021"
"Chemists","19-2031","Line item",88.3,94,5.7,6.5,NA,8.6,"74740","Bachelor's degree","None","19","2","031"
"Materials scientists","19-2032","Line item",7.9,8.5,0.6,7.1,NA,0.8,"99530","Bachelor's degree","None","19","2","032"
"Environmental scientists and specialists, including health","19-2041","Line item",89.5,99.4,9.9,11.1,1.8,9.5,"69400","Bachelor's degree","None","19","2","041"
"Geoscientists, except hydrologists and geographers","19-2042","Line item",32,36.5,4.5,14,2.7,3.5,"89850","Bachelor's degree","None","19","2","042"
"Hydrologists","19-2043","Line item",6.7,7.4,0.7,9.9,1.4,0.7,"79990","Bachelor's degree","None","19","2","043"
"Physical scientists, all other","19-2099","Line item",23.5,25.1,1.7,7.2,9.3,2,"103990","Bachelor's degree","None","19","2","099"
"Social scientists and related workers","19-3000","Summary",303.8,336.7,32.9,10.8,15.4,26.5,"76970","—","—","19","3","000"
"Economists","19-3011","Line item",21.3,22.6,1.3,6.3,3.6,1.6,"102490","Master's degree","None","19","3","011"
"Survey researchers","19-3022","Line item",14.6,14.9,0.4,2.5,14.2,1.4,"54270","Master's degree","None","19","3","022"
"Clinical, counseling, and school psychologists","19-3031","Line item",147.5,168.5,21,14.3,24.4,12.1,"75090","Doctoral or professional degree","None","19","3","031"
"Industrial-organizational psychologists","19-3032","Line item",1.7,1.8,0.1,8.4,37.2,0.1,"87100","Master's degree","None","19","3","032"
"Psychologists, all other","19-3039","Line item",17.4,19.2,1.8,10.5,18.3,1.3,"97740","Master's degree","None","19","3","039"
"Sociologists","19-3041","Line item",3.5,3.5,0,1.3,10.9,0.3,"79650","Master's degree","None","19","3","041"
"Urban and regional planners","19-3051","Line item",36,40.6,4.6,12.8,NA,3.5,"71490","Master's degree","None","19","3","051"
"Anthropologists and archeologists","19-3091","Line item",7.6,7.9,0.3,4.5,11,0.7,"62280","Master's degree","None","19","3","091"
"Geographers","19-3092","Line item",1.5,1.7,0.1,6.7,4.9,0.2,"76860","Bachelor's degree","None","19","3","092"
"Historians","19-3093","Line item",3.3,3.5,0.2,6,5.4,0.3,"59120","Master's degree","None","19","3","093"
"Political scientists","19-3094","Line item",7.3,7.5,0.2,2.8,6.7,0.7,"115110","Master's degree","None","19","3","094"
"Social scientists and related workers, all other","19-3099","Line item",42.1,44.9,2.7,6.5,5.5,4.2,"79370","Bachelor's degree","None","19","3","099"
"Life, physical, and social science technicians","19-4000","Summary",392.1,424.3,32.2,8.2,1,45.9,"45780","—","—","19","4","000"
"Agricultural and food science technicians","19-4011","Line item",27.5,29.2,1.7,6.3,NA,3,"39910","Associate's degree","None","19","4","011"
"Biological technicians","19-4021","Line item",82.1,90.4,8.4,10.2,NA,8.9,"43800","Bachelor's degree","None","19","4","021"
"Chemical technicians","19-4031","Line item",67.3,70,2.7,4,1.5,6.6,"47280","Associate's degree","None","19","4","031"
"Geological and petroleum technicians","19-4041","Line item",15,17.4,2.5,16.4,NA,1.9,"54190","Associate's degree","None","19","4","041"
"Nuclear technicians","19-4051","Line item",6.9,6.9,0.1,0.8,2.8,0.8,"80370","Associate's degree","None","19","4","051"
"Social science research assistants","19-4061","Line item",34,35.5,1.5,4.3,1.7,4.1,"46000","Bachelor's degree","None","19","4","061"
"Environmental science and protection technicians, including health","19-4091","Line item",34.6,38.8,4.2,12.1,1.9,4.6,"45490","Associate's degree","None","19","4","091"
"Forensic science technicians","19-4092","Line item",15.4,18,2.6,16.8,NA,2.2,"57850","Bachelor's degree","None","19","4","092"
"Forest and conservation technicians","19-4093","Line item",33.2,34.5,1.3,3.8,NA,4,"36130","Associate's degree","None","19","4","093"
"Life, physical, and social science technicians, all other","19-4099","Line item",76.1,83.5,7.4,9.7,1.6,9.9,"48090","Associate's degree","None","19","4","099"
"Community and social service occupations","21-0000","Summary",2570.7,2942.6,371.9,14.5,2.6,330.7,"43840","—","—","21","0","000"
"Counselors, social workers, and other community and social service specialists","21-1000","Summary",2126.4,2463.9,337.5,15.9,2.9,274.4,"43860","—","—","21","1","000"
"Substance abuse and behavioral disorder counselors","21-1011","Line item",102.4,126.2,23.8,23.2,7.8,14.1,"—","Bachelor's degree","None","21","1","011"
"Educational, guidance, school, and vocational counselors","21-1012","Line item",291.7,328.4,36.7,12.6,3,35.3,"55410","Master's degree","None","21","1","012"
"Marriage and family therapists","21-1013","Line item",41.5,51.2,9.7,23.4,7.5,5.7,"48790","Master's degree","None","21","1","013"
"Mental health counselors","21-1014","Line item",157.7,194.2,36.5,23.1,8,21.6,"—","Master's degree","None","21","1","014"
"Rehabilitation counselors","21-1015","Line item",119.3,134.4,15.1,12.7,6.9,14.5,"34860","Master's degree","None","21","1","015"
"Counselors, all other","21-1019","Line item",31.8,36.3,4.5,14.3,5.5,3.9,"43370","Master's degree","None","21","1","019"
"Child, family, and school social workers","21-1021","Line item",317.6,362.6,45,14.2,2,38.3,"44380","Bachelor's degree","None","21","1","021"
"Healthcare social workers","21-1022","Line item",176.5,212,35.4,20.1,3.3,22.9,"54870","Master's degree","None","21","1","022"
"Mental health and substance abuse social workers","21-1023","Line item",123.9,147.9,23.9,19.3,3,15.9,"43250","Master's degree","None","21","1","023"
"Social workers, all other","21-1029","Line item",64,69.3,5.3,8.3,1,7.2,"61980","Bachelor's degree","None","21","1","029"
"Health educators","21-1091","Line item",61,69.9,8.8,14.5,NA,8.7,"53940","Bachelor's degree","None","21","1","091"
"Probation officers and correctional treatment specialists","21-1092","Line item",91.3,96.5,5.2,5.7,NA,8.3,"51410","Bachelor's degree","None","21","1","092"
"Social and human service assistants","21-1093","Line item",389.8,453.6,63.9,16.4,0.7,55.4,"33120","High school diploma or equivalent","None","21","1","093"
"Community health workers","21-1094","Line item",57.5,67.8,10.4,18.1,NA,8.5,"38370","High school diploma or equivalent","None","21","1","094"
"Community and social service specialists, all other","21-1099","Line item",100.3,113.5,13.2,13.2,NA,14.1,"41570","Bachelor's degree","None","21","1","099"
"Religious workers","21-2000","Summary",444.2,478.7,34.4,7.7,1.2,56.3,"43410","—","—","21","2","000"
"Clergy","21-2011","Line item",243.9,263.8,19.9,8.2,0.6,29.2,"47100","Bachelor's degree","None","21","2","011"
"Directors, religious activities and education","21-2021","Line item",147.1,157.5,10.4,7.1,2.5,19.4,"38980","Bachelor's degree","Less than 5 years","21","2","021"
"Religious workers, all other","21-2099","Line item",53.2,57.3,4.1,7.7,NA,7.7,"29310","Bachelor's degree","None","21","2","099"
"Legal occupations","23-0000","Summary",1283.3,1399.5,116.2,9.1,14.4,90.8,"80080","—","—","23","0","000"
"Lawyers, judges, and related workers","23-1000","Summary",858.2,926.9,68.7,8,19,44,"116210","—","—","23","1","000"
"Lawyers","23-1011","Line item",792.5,857.5,65,8.2,20.4,40.7,"119250","Doctoral or professional degree","None","23","1","011"
"Judicial law clerks","23-1012","Line item",14,14.8,0.8,5.5,NA,0.8,"51330","Doctoral or professional degree","None","23","1","012"
"Administrative law judges, adjudicators, and hearing officers","23-1021","Line item",15.4,16,0.6,4,NA,0.7,"94790","Doctoral or professional degree","5 years or more","23","1","021"
"Arbitrators, mediators, and conciliators","23-1022","Line item",7.8,8.7,0.8,10.4,15.5,0.4,"60670","Bachelor's degree","Less than 5 years","23","1","022"
"Judges, magistrate judges, and magistrates","23-1023","Line item",28.4,30,1.6,5.6,NA,1.4,"133840","Doctoral or professional degree","5 years or more","23","1","023"
